stop_index,stop_name
1339,Ceskomoravska
1340,Ceskomoravska
1341,Odra
1342,Odra
1343,Ohrada
1344,Ohrada
1345,Ohrada
1346,Ohrada
1347,Ohrada
1348,Ohrada
1349,Suchdol
1350,Suchdol
1351,Okrouhlicka
1352,Okrouhlicka
1353,Olsanske hrbitovy
1354,Olsanske hrbitovy
1355,Olsanske hrbitovy
1356,Olsanske hrbitovy
1357,Olsanske namesti
1358,Olsanske namesti
1359,Olsanske namesti
1360,Olsanske namesti
1361,Opalova
1362,Orionka
1363,Orionka
1364,Orionka
1365,Orionka
1366,Orechovka
1367,Orechovka
1368,Ortenovo namesti
1369,Ortenovo namesti
1370,Ostrcilovo namesti
1371,Ostrcilovo namesti
1372,Otinska
1373,Otinska
1374,Do Lipan
1375,Do Lipan
1376,Huntirovska
1377,Huntirovska
1378,Vysehrad
1379,Vysehrad
1380,Vysehrad
1381,Vysehrad
1382,Palmovka
1383,Palmovka
1384,Palmovka
1385,Palmovka
1386,Palmovka
1387,Palmovka
1388,Palmovka
1389,Palmovka
1390,Palmovka
1391,Palmovka
1392,Palmovka
